Category: All categories

Region,Borderline personality: (2017)
New Hampshire,100
Maine,94
Vermont,94
Idaho,87
Utah,86
Alaska,83
West Virginia,82
Minnesota,81
Rhode Island,80
Montana,80
Connecticut,78
Oregon,75
Iowa,75
Massachusetts,75
Colorado,74
New York,70
North Dakota,68
Missouri,68
Washington,67
South Dakota,67
Indiana,65
Pennsylvania,65
Arizona,65
Wyoming,65
Michigan,65
New Mexico,64
Kentucky,64
Arkansas,64
Wisconsin,63
Kansas,62
Nebraska,61
Delaware,60
Maryland,60
Tennessee,60
Virginia,60
Oklahoma,60
Ohio,60
District of Columbia,59
Mississippi,57
New Jersey,57
Nevada,57
South Carolina,56
North Carolina,55
Louisiana,55
California,53
Alabama,53
Illinois,52
Georgia,47
Florida,46
Texas,44
Hawaii,43
