Category: All categories

Region,Borderline personality: (2010)
New Hampshire,100
South Dakota,98
Minnesota,78
Maine,71
Louisiana,69
Wyoming,68
Utah,68
Michigan,68
Alaska,67
South Carolina,66
Maryland,65
Oregon,64
Massachusetts,62
New Mexico,62
Iowa,62
Wisconsin,61
Idaho,61
Ohio,61
Pennsylvania,61
Kansas,60
Kentucky,60
Montana,60
Connecticut,60
Mississippi,59
Oklahoma,58
Rhode Island,58
Missouri,58
Nebraska,58
Indiana,58
Arkansas,57
Alabama,57
Washington,57
Arizona,57
New York,56
Vermont,56
Colorado,56
North Carolina,56
District of Columbia,55
Delaware,55
Tennessee,54
West Virginia,52
Illinois,51
New Jersey,51
Florida,48
North Dakota,47
Nevada,46
Texas,46
Georgia,45
Hawaii,41
California,29
Virginia,26
