Category: All categories

Region,anxiety: (2021)
New Hampshire,100
Pennsylvania,96
Connecticut,92
Kentucky,91
Rhode Island,91
Massachusetts,90
Maryland,90
West Virginia,90
Maine,89
Indiana,88
Utah,88
Ohio,86
Tennessee,85
Illinois,84
Kansas,84
Louisiana,84
Missouri,84
Michigan,83
New Jersey,83
Idaho,83
Arkansas,83
Washington,83
Oregon,83
Vermont,83
Virginia,82
California,82
Alabama,82
Nebraska,82
Mississippi,82
Wisconsin,81
Iowa,81
New Mexico,81
Colorado,81
Arizona,81
North Carolina,80
Minnesota,79
Delaware,78
Georgia,78
Oklahoma,78
South Carolina,77
North Dakota,77
Texas,76
Florida,74
Hawaii,74
Montana,73
New York,72
Nevada,71
South Dakota,71
District of Columbia,71
Alaska,69
Wyoming,68
