Category: All categories

Region,anxiety: (2016)
New Hampshire,100
Kentucky,99
Massachusetts,99
Connecticut,98
Maine,98
West Virginia,98
Iowa,94
Wisconsin,92
Louisiana,92
Vermont,91
Pennsylvania,91
Rhode Island,91
Ohio,91
Mississippi,91
North Dakota,90
Alabama,89
Indiana,89
Utah,89
Michigan,89
Minnesota,89
Illinois,88
Missouri,87
Arkansas,87
Washington,87
Oregon,87
Arizona,86
Oklahoma,86
New York,85
New Jersey,85
Virginia,85
Tennessee,84
New Mexico,84
South Dakota,82
South Carolina,81
Nebraska,81
Kansas,80
Maryland,79
Wyoming,79
Idaho,78
North Carolina,78
Montana,78
District of Columbia,78
Nevada,78
Colorado,78
Georgia,77
California,77
Texas,76
Florida,75
Delaware,75
Alaska,74
Hawaii,60
