Category: All categories

Region,anxiety: (2007)
Vermont,100
Connecticut,95
New Hampshire,95
Rhode Island,93
South Dakota,92
Wyoming,90
Maine,89
Iowa,89
North Dakota,89
Minnesota,88
Oregon,87
Wisconsin,85
Kentucky,85
Pennsylvania,84
Massachusetts,83
Maryland,83
Oklahoma,83
Alabama,82
Missouri,80
Michigan,80
Kansas,80
Nebraska,80
North Carolina,80
Tennessee,80
Mississippi,79
West Virginia,79
Arkansas,78
Louisiana,78
New York,78
Montana,76
Utah,75
South Carolina,75
Indiana,75
New Jersey,73
Ohio,73
Arizona,72
Illinois,72
Delaware,70
New Mexico,70
Colorado,70
Texas,69
Idaho,69
Virginia,68
Washington,68
Hawaii,68
Alaska,66
Florida,65
District of Columbia,65
Nevada,64
Georgia,64
California,63
