Category: All categories

Region,anxiety: (2010)
Rhode Island,100
Maine,92
New Hampshire,85
Massachusetts,83
Iowa,82
South Dakota,82
North Dakota,81
West Virginia,80
New Mexico,79
Vermont,79
Connecticut,79
Kentucky,79
Pennsylvania,78
Kansas,76
New Jersey,76
Delaware,75
South Carolina,74
Louisiana,74
Utah,74
Washington,74
Indiana,73
Ohio,73
Minnesota,72
Oklahoma,71
North Carolina,71
Wisconsin,71
Oregon,71
Alabama,70
Montana,70
Missouri,70
Michigan,70
Illinois,69
Nebraska,69
New York,68
Wyoming,67
Mississippi,67
Tennessee,66
Arkansas,65
Maryland,65
Georgia,64
Arizona,63
Nevada,63
Idaho,62
Colorado,60
Florida,60
Hawaii,59
Texas,59
District of Columbia,58
Alaska,57
California,42
Virginia,38
