Category: All categories

Region,anxiety: (2020)
Connecticut,100
Maine,96
Rhode Island,96
West Virginia,96
Maryland,94
New Hampshire,92
Kentucky,91
Oklahoma,90
Pennsylvania,90
Michigan,90
Indiana,89
Illinois,89
Minnesota,88
Utah,88
Oregon,88
Massachusetts,87
Ohio,86
Missouri,85
Nebraska,84
Louisiana,84
Iowa,84
Delaware,84
New Jersey,83
New Mexico,83
Arizona,83
Idaho,83
Wisconsin,82
New York,82
Virginia,82
Nevada,82
Alabama,82
California,81
North Dakota,80
Colorado,80
Kansas,80
Arkansas,80
Tennessee,80
Mississippi,80
Vermont,80
South Carolina,79
North Carolina,78
Washington,78
Texas,78
Georgia,77
Florida,74
Hawaii,74
Montana,73
South Dakota,72
District of Columbia,71
Wyoming,70
Alaska,68
