Category: All categories

Region,anxiety: (2009)
North Dakota,100
Rhode Island,99
New Hampshire,98
Delaware,97
Maine,95
Pennsylvania,92
Kentucky,91
Montana,89
Connecticut,88
Massachusetts,87
Vermont,87
Louisiana,86
West Virginia,86
Ohio,85
Oregon,85
New Mexico,84
Arkansas,84
Illinois,84
Indiana,83
New York,83
Minnesota,81
Iowa,81
New Jersey,80
South Dakota,79
Wisconsin,78
Idaho,78
Tennessee,78
Maryland,78
Mississippi,77
Kansas,76
Nebraska,76
Michigan,76
Florida,75
Utah,75
North Carolina,74
Alabama,74
Missouri,74
Oklahoma,72
Arizona,72
South Carolina,71
Georgia,70
Texas,69
Washington,68
Nevada,67
Colorado,66
District of Columbia,65
Alaska,62
Hawaii,61
Wyoming,59
California,53
Virginia,43
