Category: All categories

Region,anxiety: (2017)
West Virginia,100
New Hampshire,95
Maine,92
Rhode Island,91
Indiana,91
Kentucky,89
Pennsylvania,89
Connecticut,89
Ohio,89
Vermont,86
Oklahoma,86
Minnesota,86
Michigan,85
Utah,85
Nebraska,85
Iowa,85
North Dakota,84
Massachusetts,84
Missouri,82
Illinois,82
Arkansas,82
Mississippi,81
Tennessee,80
California,79
New Jersey,79
Wisconsin,79
Louisiana,79
New York,78
Washington,78
Virginia,78
North Carolina,78
Colorado,78
New Mexico,77
Oregon,77
Idaho,77
Montana,74
South Carolina,73
Maryland,73
Georgia,72
Arizona,72
Kansas,72
Alabama,72
South Dakota,72
Texas,71
Nevada,70
Alaska,70
Hawaii,70
District of Columbia,70
Wyoming,70
Delaware,69
Florida,69
