Category: All categories

Region,anxiety: (2008)
New Hampshire,100
Rhode Island,99
Vermont,97
North Dakota,96
Maine,96
Connecticut,89
Delaware,89
Massachusetts,88
Kentucky,87
Pennsylvania,86
Mississippi,85
Minnesota,83
Wisconsin,83
Indiana,82
Tennessee,82
West Virginia,82
New York,81
Iowa,81
Arkansas,80
Oregon,80
New Mexico,79
Idaho,79
Louisiana,79
Kansas,78
Nebraska,77
Maryland,77
South Carolina,77
Utah,76
South Dakota,75
Oklahoma,75
Montana,74
New Jersey,73
Michigan,72
Arizona,72
Ohio,72
Alabama,72
Missouri,71
Colorado,71
Illinois,70
Washington,69
North Carolina,68
Texas,68
Florida,68
Hawaii,67
District of Columbia,66
Nevada,65
Georgia,62
Wyoming,58
California,57
Alaska,56
Virginia,49
