Category: All categories

Region,Narcissistic personality disorder: (2006)
Idaho,100
Hawaii,96
North Dakota,76
Arkansas,60
New Mexico,58
Colorado,57
Delaware,52
Oregon,50
Maryland,49
Iowa,47
Utah,46
Indiana,44
Alabama,44
Washington,44
New Hampshire,42
Vermont,41
New Jersey,36
Michigan,35
Massachusetts,34
Virginia,32
Kentucky,32
Nevada,30
Florida,29
Alaska,29
Missouri,29
Pennsylvania,28
Arizona,27
New York,26
Ohio,26
Minnesota,26
Illinois,26
North Carolina,24
Georgia,24
Texas,22
California,20
Connecticut,20
Louisiana,20
District of Columbia,20
Wisconsin,18
Rhode Island,16
South Carolina,16
Tennessee,14
Oklahoma,11
Kansas,9
Maine,
Mississippi,
Montana,
Nebraska,
South Dakota,
West Virginia,
Wyoming,
