Category: All categories

Region,molestation: (2014)
Rhode Island,100
Georgia,96
Indiana,84
Oklahoma,76
Louisiana,76
Missouri,75
Washington,69
Arkansas,63
Nevada,62
South Dakota,62
Mississippi,61
Kansas,61
Arizona,61
Idaho,60
California,58
Montana,58
Kentucky,58
Vermont,56
Wyoming,56
Maine,56
Illinois,54
Tennessee,54
Alabama,54
Florida,53
West Virginia,52
Hawaii,51
New Mexico,50
District of Columbia,50
Maryland,50
North Dakota,50
North Carolina,50
South Carolina,50
Michigan,49
Ohio,49
Texas,47
Pennsylvania,47
New Jersey,44
New Hampshire,43
Massachusetts,43
New York,42
Connecticut,41
Colorado,40
Virginia,40
Nebraska,38
Minnesota,38
Iowa,38
Wisconsin,37
Utah,36
Alaska,34
Oregon,32
Delaware,29
