Category: All categories

Region,molestation: (2017)
Indiana,100
Georgia,94
Oklahoma,90
Rhode Island,89
Louisiana,77
Missouri,74
Arizona,71
Washington,70
Oregon,69
Arkansas,67
Wyoming,67
New Mexico,66
New Hampshire,65
Mississippi,64
California,64
Maine,61
South Carolina,61
Delaware,61
Montana,60
Kentucky,60
Nebraska,59
Nevada,59
Hawaii,58
Maryland,57
Alabama,56
Tennessee,56
South Dakota,55
Connecticut,55
Alaska,55
Florida,54
Ohio,54
District of Columbia,54
Virginia,54
Kansas,53
Pennsylvania,53
New Jersey,53
Illinois,53
North Carolina,51
Utah,50
Colorado,49
New York,49
Michigan,48
Massachusetts,48
Texas,46
Idaho,46
Iowa,45
Minnesota,44
North Dakota,43
West Virginia,43
Wisconsin,43
Vermont,40
