Category: All categories

Region,molestation: (2019)
Georgia,100
Rhode Island,99
Indiana,87
Oklahoma,76
Louisiana,72
Washington,68
Missouri,67
Montana,64
Mississippi,63
Arizona,59
West Virginia,58
Arkansas,57
Alabama,57
Kansas,53
Idaho,52
South Carolina,51
Oregon,50
Kentucky,50
Maryland,48
California,47
North Carolina,47
Nevada,47
Florida,46
Ohio,45
Delaware,45
Michigan,45
Virginia,44
Tennessee,44
Connecticut,44
North Dakota,44
Colorado,42
Nebraska,42
New Mexico,42
Pennsylvania,42
Texas,41
Utah,40
New Jersey,40
Illinois,40
District of Columbia,39
Alaska,38
Minnesota,37
Vermont,37
New York,36
New Hampshire,35
Iowa,35
Wyoming,33
Massachusetts,32
Wisconsin,31
Maine,31
Hawaii,28
South Dakota,25
