Category: All categories

Region,molestation: (2016)
Georgia,100
Indiana,98
Rhode Island,94
Mississippi,82
Montana,77
Oklahoma,77
Washington,73
Louisiana,71
Vermont,70
Missouri,70
Arizona,66
California,66
West Virginia,63
South Carolina,59
Alabama,58
District of Columbia,57
New Mexico,57
Tennessee,56
Maine,55
Oregon,55
Hawaii,55
Nevada,54
Pennsylvania,53
Alaska,53
Florida,52
Ohio,52
Kentucky,52
Michigan,52
North Carolina,52
Virginia,51
Kansas,51
Maryland,50
Massachusetts,49
Wyoming,49
South Dakota,48
Utah,48
Illinois,48
Idaho,47
Arkansas,47
New Jersey,47
Connecticut,46
New York,46
North Dakota,46
Colorado,44
Wisconsin,44
Texas,44
Minnesota,43
New Hampshire,41
Nebraska,41
Delaware,41
Iowa,39
