Category: All categories

Region,molestation: (2018)
Oklahoma,100
Indiana,95
Rhode Island,94
Georgia,92
Louisiana,80
Mississippi,73
Missouri,69
Washington,69
Arizona,65
South Dakota,61
Oregon,59
South Carolina,58
Kansas,55
Alabama,54
New Mexico,53
Nevada,53
Montana,53
Arkansas,52
Kentucky,52
Delaware,51
Pennsylvania,50
Maryland,50
West Virginia,50
Alaska,50
Connecticut,48
Idaho,48
Florida,48
District of Columbia,47
California,47
North Carolina,47
Virginia,47
Michigan,46
Nebraska,45
Ohio,45
Maine,45
Tennessee,45
New Hampshire,45
Illinois,45
Colorado,44
Texas,43
Massachusetts,42
New Jersey,42
Utah,41
New York,41
Hawaii,40
Iowa,38
Wisconsin,37
Minnesota,35
Wyoming,26
Vermont,21
North Dakota,12
