Category: All categories

Region,molestation: (2012)
Georgia,100
Indiana,94
Rhode Island,89
Wyoming,85
Mississippi,76
Missouri,72
Oklahoma,71
West Virginia,71
Arizona,67
Washington,66
California,66
South Carolina,65
Louisiana,64
Idaho,63
Kansas,62
Arkansas,61
Maine,60
Vermont,60
Delaware,60
Alabama,60
Tennessee,58
Florida,57
North Carolina,57
Nevada,57
Kentucky,56
New Hampshire,56
Maryland,56
Virginia,55
New Jersey,53
Illinois,52
District of Columbia,51
Oregon,51
Texas,51
Michigan,50
Ohio,49
Hawaii,48
Pennsylvania,47
Wisconsin,47
Montana,47
Alaska,45
New York,44
Connecticut,44
Massachusetts,43
Iowa,43
Nebraska,41
Utah,38
Minnesota,38
Colorado,38
New Mexico,35
South Dakota,33
North Dakota,30
