Category: All categories

Region,School stress: (2013)
Delaware,100
Hawaii,92
Indiana,86
Maine,83
New Jersey,82
Massachusetts,80
Pennsylvania,80
South Carolina,80
Maryland,79
Michigan,79
Nebraska,77
Rhode Island,76
Nevada,75
Connecticut,75
Ohio,74
Wisconsin,74
New Mexico,74
Kansas,72
California,72
Arkansas,72
West Virginia,72
Virginia,71
Iowa,69
Missouri,69
Mississippi,69
Illinois,68
Arizona,66
North Carolina,66
Louisiana,66
Kentucky,65
Idaho,62
Colorado,61
Alabama,58
New York,58
Minnesota,58
Florida,56
Texas,51
Washington,48
New Hampshire,46
Oregon,45
Tennessee,44
Utah,42
Georgia,41
District of Columbia,35
Oklahoma,33
South Dakota,
Vermont,
North Dakota,
Montana,
Alaska,
Wyoming,
