Category: All categories

Region,School stress: (2004)
West Virginia,100
Utah,84
New Mexico,53
Nevada,47
Hawaii,36
Louisiana,35
Oregon,30
Indiana,29
Tennessee,28
Alabama,28
District of Columbia,25
Iowa,22
Minnesota,20
Pennsylvania,18
Colorado,18
Georgia,18
Connecticut,17
Missouri,16
New York,14
New Jersey,13
Illinois,13
Florida,13
Ohio,13
Maryland,12
Michigan,12
Texas,11
Massachusetts,10
California,9
Virginia,6
Alaska,
New Hampshire,
Nebraska,
North Dakota,
North Carolina,
Montana,
Mississippi,
Oklahoma,
Maine,
Kentucky,
Rhode Island,
South Carolina,
South Dakota,
Kansas,
Idaho,
Delaware,
Arizona,
Vermont,
Washington,
Wisconsin,
Arkansas,
Wyoming,
