Category: All categories

Region,School stress: (2011)
Mississippi,100
Rhode Island,94
Idaho,76
New Mexico,70
Maryland,69
Maine,68
Indiana,65
Utah,65
New Jersey,64
West Virginia,59
Pennsylvania,55
South Carolina,55
Connecticut,49
Michigan,48
North Carolina,48
Wisconsin,47
Massachusetts,47
Tennessee,46
Virginia,46
Delaware,46
Ohio,45
Kentucky,44
Louisiana,44
California,43
Missouri,42
Oklahoma,41
Illinois,40
Minnesota,39
Kansas,39
Colorado,39
Washington,39
Alabama,39
Arizona,38
Arkansas,38
Florida,36
Texas,36
New York,36
Georgia,32
Oregon,32
Hawaii,29
Nebraska,28
Iowa,26
New Hampshire,23
Nevada,23
District of Columbia,17
North Dakota,
Montana,
Alaska,
South Dakota,
Wyoming,
Vermont,
