Category: All categories

Region,School stress: (2006)
Maine,100
Mississippi,78
Alabama,75
Louisiana,62
Rhode Island,54
Kansas,54
Minnesota,51
South Carolina,51
District of Columbia,46
Connecticut,42
Kentucky,38
Illinois,37
Georgia,37
North Carolina,34
Michigan,32
Ohio,32
New York,32
Wisconsin,31
Indiana,30
New Jersey,29
Washington,29
Massachusetts,28
Oregon,28
Virginia,26
Utah,25
Pennsylvania,25
Florida,20
Texas,19
Arizona,19
California,17
Maryland,16
Missouri,16
Colorado,10
Alaska,
Nevada,
New Mexico,
Oklahoma,
New Hampshire,
Nebraska,
North Dakota,
Montana,
South Dakota,
Tennessee,
Idaho,
Iowa,
Hawaii,
Vermont,
Delaware,
Arkansas,
West Virginia,
Wyoming,
