Category: All categories

Region,School stress: (2005)
Iowa,100
Idaho,83
Utah,68
Rhode Island,63
Missouri,61
Arkansas,60
Indiana,57
Maine,53
Kentucky,53
Nebraska,51
New Jersey,49
Oregon,44
South Carolina,41
Minnesota,37
Illinois,37
Ohio,36
New York,35
Connecticut,34
Louisiana,34
Maryland,33
Virginia,32
North Carolina,32
Pennsylvania,30
California,29
Tennessee,29
Florida,26
Massachusetts,25
Washington,24
Colorado,24
Texas,19
District of Columbia,18
Arizona,18
Michigan,16
Georgia,11
Alaska,
Nevada,
Oklahoma,
New Mexico,
New Hampshire,
North Dakota,
Montana,
South Dakota,
Mississippi,
Kansas,
Hawaii,
Delaware,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Wyoming,
