Category: All categories

Region,gender identity: (2007)
Vermont,100
Delaware,61
Hawaii,43
Montana,39
South Dakota,36
Nebraska,36
Alabama,35
Colorado,30
Rhode Island,29
Iowa,29
Massachusetts,26
Mississippi,25
Indiana,24
Minnesota,24
Oregon,24
Michigan,24
Ohio,23
Kansas,23
District of Columbia,22
Tennessee,22
Connecticut,21
North Carolina,21
Georgia,20
New York,20
Illinois,20
Maine,20
Missouri,19
Pennsylvania,18
Utah,18
Maryland,17
Nevada,17
Idaho,17
Florida,16
Washington,16
California,16
New Jersey,15
Texas,15
Virginia,14
Oklahoma,14
New Hampshire,13
South Carolina,13
Louisiana,11
Kentucky,10
Arizona,10
Wisconsin,10
Alaska,
Arkansas,
North Dakota,
New Mexico,
West Virginia,
Wyoming,
