Category: All categories

Region,gender identity: (2012)
North Dakota,100
Wyoming,92
Montana,90
Idaho,74
New Mexico,71
Vermont,71
Rhode Island,68
Delaware,65
New Hampshire,63
Iowa,56
Arizona,53
Maine,53
Hawaii,53
District of Columbia,53
North Carolina,51
Missouri,51
Oregon,51
Virginia,50
Kentucky,48
Ohio,46
Oklahoma,46
Indiana,46
Massachusetts,45
Connecticut,45
Colorado,45
New York,43
South Dakota,43
Arkansas,43
Maryland,42
Washington,40
Wisconsin,40
California,40
Michigan,40
New Jersey,40
Nebraska,39
Florida,39
Pennsylvania,39
Mississippi,39
Illinois,37
Louisiana,37
Nevada,37
Utah,36
Minnesota,36
Kansas,34
Tennessee,34
Georgia,33
Texas,28
South Carolina,28
Alabama,28
West Virginia,12
Alaska,
