Category: All categories

Region,gender identity: (2015)
Vermont,100
West Virginia,92
Delaware,90
New Mexico,85
Connecticut,82
Massachusetts,80
Wyoming,77
Rhode Island,76
Maine,76
New Hampshire,73
Maryland,73
Minnesota,72
Montana,66
Mississippi,66
District of Columbia,66
South Dakota,65
Kentucky,62
Indiana,62
Utah,61
Arkansas,61
New Jersey,61
Colorado,58
Hawaii,58
Washington,58
Pennsylvania,58
Nebraska,57
North Carolina,56
Missouri,54
Tennessee,54
Michigan,53
Iowa,52
Arizona,50
Alabama,50
Ohio,50
New York,50
Nevada,49
California,49
Oregon,48
Wisconsin,48
Illinois,46
Florida,44
Alaska,44
Georgia,42
South Carolina,42
Oklahoma,42
Kansas,42
Louisiana,41
Idaho,41
Virginia,40
Texas,37
North Dakota,14
