Category: All categories

Region,gender identity: (2013)
Wyoming,100
North Dakota,90
Maine,85
Vermont,83
Iowa,68
South Dakota,68
Hawaii,67
Colorado,67
Rhode Island,67
Arkansas,63
West Virginia,62
District of Columbia,60
New Jersey,57
Connecticut,57
Pennsylvania,55
Indiana,55
Michigan,54
Nevada,52
Maryland,52
New Hampshire,52
Massachusetts,52
Kansas,52
South Carolina,50
Kentucky,50
Mississippi,50
Alabama,49
Washington,49
California,49
Oklahoma,47
Arizona,47
North Carolina,47
Ohio,45
Utah,45
Alaska,45
Missouri,45
Virginia,45
Tennessee,44
New York,44
Nebraska,44
Illinois,44
Minnesota,44
Wisconsin,42
Florida,42
Idaho,40
Georgia,37
New Mexico,37
Louisiana,36
Oregon,36
Texas,36
Delaware,34
Montana,
