Category: All categories

Region,noose: (2017)
Wyoming,100
District of Columbia,94
Maryland,92
New Hampshire,82
Rhode Island,81
South Dakota,81
Kansas,78
Arkansas,78
Indiana,78
Nevada,76
Iowa,75
Oklahoma,74
Idaho,73
North Dakota,72
Virginia,72
Michigan,72
West Virginia,72
Pennsylvania,71
Montana,71
Kentucky,71
Ohio,70
Arizona,70
California,69
Maine,69
Missouri,68
Wisconsin,68
Alaska,67
Washington,66
Colorado,66
New Mexico,66
Connecticut,65
New Jersey,65
Nebraska,65
North Carolina,64
Delaware,64
Minnesota,64
Utah,64
Vermont,64
Oregon,63
Hawaii,63
Mississippi,62
Texas,62
Alabama,61
South Carolina,61
Illinois,61
Louisiana,59
Massachusetts,58
Georgia,57
Tennessee,56
Florida,55
New York,51
