Category: All categories

Region,noose: (2016)
Maine,100
Idaho,97
Indiana,90
Michigan,89
West Virginia,88
Arkansas,87
Iowa,86
Wisconsin,85
Missouri,85
Utah,83
Nevada,83
Colorado,81
New Hampshire,80
Rhode Island,80
Mississippi,79
Wyoming,79
North Dakota,79
Illinois,79
Washington,77
Connecticut,77
Pennsylvania,77
Arizona,77
Vermont,77
Oregon,77
Ohio,77
Kentucky,76
Oklahoma,76
Kansas,75
Alabama,74
New Mexico,73
Alaska,72
Louisiana,72
Montana,72
Maryland,71
Tennessee,71
California,71
Virginia,69
Massachusetts,69
Hawaii,69
District of Columbia,68
New Jersey,68
South Carolina,67
Nebraska,67
North Carolina,66
Delaware,66
Georgia,65
Minnesota,65
Texas,63
South Dakota,62
Florida,59
New York,58
