Category: All categories

Region,noose: (2008)
Idaho,100
Maine,99
Louisiana,99
Tennessee,92
Wyoming,91
Kentucky,88
South Carolina,86
Alaska,83
Vermont,83
Mississippi,82
Nebraska,82
Pennsylvania,81
District of Columbia,81
Minnesota,80
Kansas,78
Wisconsin,78
New York,77
New Jersey,77
West Virginia,75
Illinois,74
Iowa,73
Texas,72
Colorado,72
North Carolina,71
Indiana,71
Michigan,71
Massachusetts,70
Arkansas,69
Maryland,68
Florida,68
Georgia,66
Connecticut,66
New Mexico,65
Virginia,63
Missouri,63
Oklahoma,62
Arizona,62
Montana,62
Utah,60
Washington,60
California,59
Ohio,57
Alabama,54
Oregon,53
Hawaii,52
Nevada,50
North Dakota,42
Rhode Island,31
South Dakota,30
New Hampshire,30
Delaware,
