Category: All categories

Region,noose: (2014)
Alaska,100
Vermont,90
Maine,80
Mississippi,75
Montana,75
Oklahoma,71
Iowa,70
Arkansas,70
West Virginia,69
New Mexico,66
Louisiana,65
Nevada,65
Colorado,63
Wisconsin,62
Washington,61
Kentucky,61
Idaho,61
Missouri,61
Alabama,60
Ohio,60
North Dakota,59
Rhode Island,59
New Hampshire,58
Tennessee,58
Wyoming,58
Arizona,58
North Carolina,58
Pennsylvania,57
Kansas,56
Nebraska,56
Michigan,55
Indiana,55
Utah,55
Minnesota,54
New Jersey,52
Massachusetts,52
Texas,50
New York,50
Georgia,50
Illinois,49
Connecticut,47
South Carolina,47
Maryland,47
District of Columbia,47
Hawaii,46
Florida,46
California,45
South Dakota,45
Oregon,40
Virginia,37
Delaware,23
