Category: All categories

Region,noose: (2013)
North Dakota,100
Rhode Island,79
Kansas,77
Iowa,72
Idaho,69
New Hampshire,68
Utah,68
Kentucky,68
Oklahoma,67
Ohio,66
Pennsylvania,66
Nebraska,65
Mississippi,64
Colorado,64
Arkansas,63
Michigan,63
Connecticut,62
Tennessee,62
New Jersey,62
Wisconsin,62
North Carolina,60
Washington,60
Alabama,60
Maine,60
Massachusetts,59
Minnesota,59
Indiana,59
Louisiana,58
South Dakota,58
Illinois,57
South Carolina,57
Missouri,57
Virginia,56
Maryland,56
Nevada,54
Texas,54
New Mexico,54
Arizona,54
West Virginia,53
New York,53
Georgia,53
Hawaii,52
Florida,51
California,49
Vermont,47
Oregon,46
District of Columbia,45
Montana,45
Wyoming,34
Alaska,28
Delaware,23
