Category: All categories

Region,Histrionic personality: (2021)
Rhode Island,100
Utah,92
Oklahoma,80
Idaho,80
Oregon,77
North Dakota,77
Missouri,75
Delaware,75
Kentucky,72
Montana,72
Massachusetts,70
Minnesota,70
Maine,70
Virginia,67
New Hampshire,67
Alaska,67
Iowa,65
Washington,65
Hawaii,65
Arkansas,62
Arizona,62
Indiana,60
West Virginia,60
Illinois,60
Pennsylvania,60
Mississippi,60
Michigan,60
Florida,60
Maryland,60
New Jersey,57
Connecticut,57
Nebraska,57
North Carolina,57
Louisiana,57
California,55
Colorado,55
District of Columbia,55
Wisconsin,55
New York,55
Georgia,55
Tennessee,55
Kansas,52
Vermont,52
Ohio,52
New Mexico,50
Texas,50
Nevada,47
Alabama,47
South Carolina,45
Wyoming,40
South Dakota,
