Category: All categories

Region,Histrionic personality: (2016)
Montana,100
West Virginia,89
Maine,86
Delaware,81
Arkansas,78
Oklahoma,73
Alaska,71
North Dakota,68
Kentucky,65
Missouri,63
Connecticut,60
Mississippi,57
Washington,57
Tennessee,57
Indiana,55
Utah,55
Colorado,55
Maryland,55
District of Columbia,55
South Carolina,55
Michigan,52
North Carolina,52
Virginia,52
Minnesota,52
Pennsylvania,50
Massachusetts,50
Ohio,50
Wisconsin,50
Arizona,47
Rhode Island,47
New Jersey,47
New Hampshire,47
Iowa,44
California,44
New York,44
Illinois,44
Oregon,44
Alabama,44
Wyoming,42
Florida,42
South Dakota,42
Georgia,39
Idaho,39
Vermont,39
Nevada,39
Texas,39
Louisiana,36
New Mexico,36
Kansas,28
Nebraska,23
Hawaii,18
