Category: All categories

Region,Histrionic personality: (2008)
Montana,100
New Hampshire,67
Wyoming,57
Iowa,53
Colorado,45
Louisiana,45
Kentucky,41
Oregon,33
South Carolina,33
Maryland,32
Ohio,31
Florida,29
Arkansas,29
Rhode Island,28
Minnesota,27
Connecticut,27
Michigan,24
New Jersey,24
Pennsylvania,24
Texas,24
North Carolina,24
Virginia,24
Mississippi,23
New York,23
Maine,23
Indiana,23
Missouri,22
Kansas,22
Massachusetts,20
Washington,20
Georgia,19
Arizona,19
District of Columbia,18
California,18
Illinois,16
Wisconsin,12
Utah,11
Alaska,
Alabama,
Delaware,
Hawaii,
Idaho,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Oklahoma,
South Dakota,
Tennessee,
Vermont,
West Virginia,
