Category: All categories

Region,Histrionic personality: (2004)
Wyoming,100
West Virginia,39
Alaska,27
Alabama,16
New Hampshire,15
Utah,11
Rhode Island,11
South Carolina,8
Colorado,8
Ohio,8
Oklahoma,7
Maryland,7
Missouri,6
Kentucky,5
Illinois,5
Louisiana,5
Iowa,4
Kansas,4
Florida,4
Washington,4
North Carolina,4
Wisconsin,4
New York,3
Tennessee,3
Pennsylvania,3
Oregon,2
Michigan,2
Texas,2
California,2
Massachusetts,2
Virginia,1
Georgia,1
Arkansas,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Idaho,
Indiana,
Maine,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Jersey,
New Mexico,
Nevada,
South Dakota,
Vermont,
