Category: All categories

Region,Histrionic personality: (2014)
South Dakota,100
Alaska,92
Utah,79
Rhode Island,71
Arkansas,67
Ohio,67
Indiana,66
North Dakota,66
Nebraska,64
Washington,64
Pennsylvania,64
West Virginia,64
Hawaii,62
Wisconsin,62
Montana,60
New Hampshire,60
Missouri,58
Mississippi,58
Oklahoma,58
Kentucky,58
Delaware,58
Massachusetts,58
Minnesota,58
Michigan,58
Iowa,56
Connecticut,56
Colorado,54
Maine,54
New Mexico,54
Illinois,54
Louisiana,54
South Carolina,52
Alabama,52
Georgia,52
Arizona,50
Maryland,50
Florida,50
Tennessee,50
North Carolina,49
New York,49
Wyoming,47
Idaho,45
Texas,45
California,45
New Jersey,43
Virginia,41
Kansas,37
Nevada,35
Oregon,35
Vermont,35
District of Columbia,30
