Category: All categories

Region,Avoidant: (2010)
North Dakota,100
Wyoming,80
South Dakota,66
West Virginia,58
New Mexico,58
Vermont,56
Minnesota,56
Connecticut,52
Louisiana,49
Indiana,48
Tennessee,48
Oregon,48
Hawaii,45
District of Columbia,45
Arkansas,44
Pennsylvania,44
Ohio,42
Arizona,41
Kansas,41
Colorado,40
North Carolina,40
Washington,40
Florida,37
Michigan,37
New York,36
New Hampshire,36
Massachusetts,36
Idaho,34
South Carolina,34
Maryland,33
New Jersey,33
Texas,33
Nebraska,33
Oklahoma,33
Alaska,32
Illinois,30
Missouri,29
Iowa,29
Wisconsin,29
Rhode Island,28
Maine,28
Utah,26
Georgia,25
Kentucky,25
Mississippi,22
California,22
Alabama,21
Virginia,16
Delaware,
Montana,
Nevada,
