Category: All categories

Region,Avoidant: (2019)
Oregon,100
Washington,88
Maine,86
New Hampshire,83
Utah,82
District of Columbia,82
Massachusetts,79
Minnesota,79
Delaware,74
Colorado,74
New Mexico,73
Vermont,73
Connecticut,71
Rhode Island,68
New York,67
Idaho,67
Nevada,67
California,67
Tennessee,65
Kansas,61
West Virginia,61
Maryland,61
Pennsylvania,61
Missouri,61
Michigan,59
Illinois,59
South Dakota,59
Wisconsin,59
Virginia,59
North Carolina,56
Arizona,55
New Jersey,55
Kentucky,55
Hawaii,53
Georgia,53
Montana,52
Ohio,52
Alabama,52
Texas,50
Mississippi,50
Louisiana,50
Alaska,49
Indiana,47
Oklahoma,46
South Carolina,46
Iowa,44
Florida,44
Arkansas,44
North Dakota,43
Nebraska,40
Wyoming,29
