Category: All categories

Region,Avoidant: (2015)
North Dakota,100
Maine,79
West Virginia,79
Montana,62
New Mexico,57
New Hampshire,52
Connecticut,51
Alaska,47
Indiana,46
Massachusetts,44
Tennessee,44
Minnesota,43
North Carolina,43
Vermont,43
Oregon,43
Pennsylvania,42
Ohio,42
Alabama,42
Wisconsin,42
Maryland,42
Rhode Island,41
New York,41
New Jersey,41
Colorado,41
Illinois,41
Idaho,41
Washington,39
Michigan,39
Mississippi,38
Nebraska,38
Utah,38
Nevada,37
Kentucky,37
California,37
Delaware,37
Iowa,37
Arkansas,35
Missouri,34
Arizona,33
Oklahoma,33
Florida,33
South Carolina,32
Kansas,29
South Dakota,29
Georgia,28
District of Columbia,28
Texas,28
Virginia,28
Louisiana,24
Hawaii,21
Wyoming,
