Category: All categories

Region,Avoidant: (2014)
Maine,100
Utah,73
Arkansas,71
Vermont,67
South Dakota,67
Delaware,66
Hawaii,66
West Virginia,64
Rhode Island,64
Washington,62
Alaska,62
Minnesota,62
Tennessee,60
Indiana,60
North Dakota,60
Michigan,60
Massachusetts,57
South Carolina,57
Maryland,57
Missouri,57
New Mexico,55
New Hampshire,55
Louisiana,55
Colorado,53
New York,53
Pennsylvania,53
Ohio,51
Iowa,51
Idaho,51
Nevada,51
Wisconsin,50
Montana,50
Kansas,50
California,50
District of Columbia,50
Arizona,50
Connecticut,48
North Carolina,46
Oregon,46
Kentucky,46
Alabama,44
Illinois,44
New Jersey,42
Texas,42
Florida,42
Wyoming,42
Georgia,42
Oklahoma,41
Virginia,39
Nebraska,39
Mississippi,37
