Category: All categories

Region,Avoidant: (2012)
North Dakota,100
Oregon,86
Utah,81
Connecticut,77
Minnesota,75
West Virginia,71
Idaho,69
Virginia,67
Indiana,66
Pennsylvania,64
Kansas,62
Mississippi,62
Oklahoma,62
Massachusetts,62
Arizona,60
Tennessee,58
New York,58
Michigan,58
Arkansas,58
Missouri,56
Maryland,56
Nevada,56
Vermont,56
Colorado,56
Washington,56
Rhode Island,54
Alabama,52
Nebraska,52
Ohio,52
Iowa,52
California,50
Illinois,49
Wisconsin,49
New Jersey,49
Kentucky,47
Louisiana,47
Florida,47
Texas,45
North Carolina,43
South Carolina,41
New Mexico,41
Georgia,41
New Hampshire,37
Wyoming,37
District of Columbia,37
Delaware,33
Hawaii,26
Montana,24
South Dakota,20
Maine,16
Alaska,
