Category: All categories

Region,lesbian: (2018)
Mississippi,100
Alabama,89
Arkansas,89
Oklahoma,88
West Virginia,86
Louisiana,86
Kentucky,85
Indiana,83
Ohio,80
Pennsylvania,79
Missouri,79
Georgia,78
North Carolina,78
Maine,77
Michigan,76
South Carolina,76
Delaware,75
Tennessee,75
Nevada,73
Florida,72
New Hampshire,72
Wisconsin,72
Rhode Island,71
Illinois,71
New Jersey,71
Texas,70
Arizona,70
Maryland,69
Kansas,69
Washington,68
Wyoming,67
Oregon,67
Iowa,67
Nebraska,67
Massachusetts,66
New York,66
New Mexico,66
Connecticut,65
Alaska,64
Virginia,63
Utah,63
Idaho,63
Montana,62
Minnesota,61
Colorado,60
California,60
Hawaii,60
Vermont,59
South Dakota,57
North Dakota,55
District of Columbia,38
