Category: All categories

Region,lesbian: (2015)
South Carolina,100
Arkansas,96
Kentucky,94
Mississippi,94
West Virginia,94
Nebraska,91
Tennessee,90
Georgia,90
Louisiana,90
Arizona,86
Alabama,86
Alaska,85
Idaho,85
Nevada,85
Iowa,84
Montana,83
Ohio,83
Kansas,83
North Carolina,83
Indiana,82
Maine,81
Missouri,80
Michigan,80
New Mexico,80
Pennsylvania,80
Rhode Island,79
Oklahoma,78
Florida,77
New Jersey,76
Texas,76
New York,76
Wyoming,75
Illinois,75
New Hampshire,75
Maryland,74
Delaware,73
Massachusetts,72
Utah,72
Wisconsin,72
Minnesota,71
Oregon,71
Washington,70
Virginia,69
Colorado,68
North Dakota,68
South Dakota,67
Connecticut,67
California,66
Hawaii,65
Vermont,63
District of Columbia,59
