Category: All categories

Region,lesbian: (2020)
West Virginia,100
Alabama,93
Oklahoma,89
Mississippi,88
Arkansas,86
Indiana,85
Maine,85
Kentucky,83
Louisiana,82
Missouri,81
New Jersey,81
Ohio,80
Delaware,80
Tennessee,79
New Hampshire,78
Georgia,77
Kansas,77
Pennsylvania,77
North Carolina,77
Michigan,76
South Carolina,75
Illinois,75
Iowa,75
Florida,75
Wisconsin,74
Texas,74
Massachusetts,74
Connecticut,73
Virginia,72
Maryland,72
New York,71
Alaska,71
Arizona,71
Nevada,71
Vermont,70
California,69
Nebraska,69
New Mexico,68
Washington,67
Wyoming,67
Rhode Island,65
Hawaii,64
Minnesota,63
Oregon,63
Colorado,63
Utah,61
Idaho,60
Montana,58
North Dakota,57
South Dakota,57
District of Columbia,44
