Category: All categories

Region,lesbian: (2013)
Mississippi,100
Kansas,90
West Virginia,88
South Carolina,82
Indiana,81
Alabama,80
Louisiana,79
Tennessee,79
Kentucky,78
Arkansas,78
Texas,77
Ohio,77
Michigan,76
Florida,75
Missouri,75
Georgia,75
North Carolina,73
Oklahoma,73
New Jersey,73
Delaware,72
Utah,71
Nevada,71
Illinois,70
Arizona,70
Montana,70
Idaho,69
New Mexico,69
Maine,68
New Hampshire,68
Iowa,67
Virginia,66
Wisconsin,65
Maryland,65
Nebraska,64
Wyoming,64
Pennsylvania,63
New York,63
Rhode Island,63
Connecticut,63
Colorado,63
Minnesota,62
Alaska,61
California,60
Washington,59
North Dakota,59
Massachusetts,58
Hawaii,57
Oregon,56
Vermont,56
South Dakota,56
District of Columbia,45
