Category: All categories

Region,lesbian: (2009)
Ohio,100
Maine,98
Mississippi,98
Pennsylvania,96
Missouri,93
Vermont,93
New Jersey,93
Indiana,92
Wyoming,91
New Hampshire,91
Michigan,91
Georgia,90
West Virginia,90
North Carolina,90
Florida,89
Rhode Island,89
Tennessee,88
Arkansas,88
Colorado,87
Kentucky,86
Louisiana,86
Massachusetts,85
Alaska,85
New York,85
Texas,85
Oklahoma,84
New Mexico,84
Kansas,83
Connecticut,83
Wisconsin,83
Washington,83
Montana,82
Arizona,82
South Dakota,82
Delaware,82
Nevada,81
Alabama,81
Illinois,80
Oregon,80
Nebraska,79
South Carolina,77
District of Columbia,76
North Dakota,76
Utah,76
Hawaii,76
Maryland,74
Idaho,72
Iowa,70
Minnesota,69
California,61
Virginia,58
