Category: All categories

Region,lesbian: (2010)
North Carolina,100
South Dakota,98
Florida,98
Texas,96
Alaska,96
Massachusetts,95
Kansas,95
Ohio,94
Missouri,93
Mississippi,93
Kentucky,93
Connecticut,93
New Jersey,91
Pennsylvania,90
Vermont,89
Nevada,89
Washington,89
New Hampshire,88
Wisconsin,88
Maine,87
Oklahoma,87
Michigan,87
Wyoming,87
Rhode Island,86
Georgia,85
Arkansas,84
Colorado,84
Arizona,83
Delaware,83
Oregon,83
Tennessee,83
Indiana,81
New York,80
Illinois,80
Idaho,80
South Carolina,79
Louisiana,79
Alabama,77
New Mexico,76
West Virginia,76
Montana,75
Nebraska,75
Maryland,74
Utah,73
North Dakota,72
Hawaii,72
Minnesota,71
District of Columbia,71
Iowa,65
California,61
Virginia,59
