Category: All categories

Region,lesbian: (2012)
West Virginia,100
Michigan,99
Mississippi,99
Indiana,97
Georgia,95
Texas,91
Alabama,90
Tennessee,89
Kentucky,88
South Carolina,88
Missouri,87
Louisiana,87
Arkansas,87
Florida,86
Kansas,85
North Carolina,83
Illinois,83
Nevada,82
Connecticut,82
Oklahoma,82
Ohio,82
Virginia,82
Maryland,81
New Hampshire,81
Wyoming,80
Wisconsin,80
Pennsylvania,79
Utah,78
New Jersey,77
Iowa,76
Arizona,76
Maine,76
New Mexico,76
Idaho,75
Nebraska,75
Colorado,74
New York,73
California,72
Rhode Island,72
Montana,72
South Dakota,71
Alaska,71
North Dakota,70
Delaware,70
Massachusetts,69
Oregon,69
Hawaii,68
Minnesota,68
Washington,67
Vermont,65
District of Columbia,62
