Category: All categories

Region,lesbian: (2019)
Mississippi,100
Alabama,96
West Virginia,89
Missouri,88
Louisiana,84
Connecticut,81
Kentucky,81
Arkansas,80
Oklahoma,79
Delaware,79
Ohio,79
Tennessee,78
Georgia,77
Indiana,75
Maine,74
Nevada,73
South Carolina,72
Rhode Island,72
Michigan,71
Virginia,70
Kansas,69
North Carolina,69
Pennsylvania,69
New Hampshire,69
Texas,68
New Jersey,68
Illinois,67
New Mexico,67
Florida,66
Oregon,66
Arizona,65
Wisconsin,65
Iowa,65
Nebraska,64
Idaho,64
Washington,64
Massachusetts,63
Vermont,63
Minnesota,62
New York,62
Hawaii,62
Alaska,62
Wyoming,61
Maryland,61
California,58
Colorado,57
Utah,57
Montana,55
North Dakota,55
South Dakota,54
District of Columbia,35
