Category: All categories

Region,lesbian: (2006)
Wyoming,100
West Virginia,97
Michigan,97
Arkansas,97
Rhode Island,97
South Dakota,96
Nevada,94
Ohio,93
Alaska,91
Mississippi,91
Missouri,91
Pennsylvania,91
Connecticut,91
Maine,89
Kansas,89
Illinois,88
Florida,88
Idaho,86
Oklahoma,86
New Jersey,86
Vermont,86
Nebraska,86
New Hampshire,85
North Dakota,84
Kentucky,84
Louisiana,84
Wisconsin,84
North Carolina,84
Montana,84
Delaware,82
Indiana,82
Washington,82
Texas,81
South Carolina,81
New York,81
Colorado,81
Maryland,80
Georgia,80
California,79
Alabama,79
Tennessee,79
Virginia,78
New Mexico,78
Arizona,76
Massachusetts,76
Iowa,75
Utah,73
Oregon,72
Hawaii,72
Minnesota,68
District of Columbia,57
