Category: All categories

Region,anorexia: (2021)
Vermont,100
California,94
West Virginia,91
Utah,91
New Hampshire,86
Rhode Island,86
North Dakota,86
Montana,85
Massachusetts,85
Maine,84
Delaware,84
Idaho,82
Minnesota,82
Arkansas,81
New Mexico,80
Oregon,79
Connecticut,79
Nebraska,79
Arizona,78
Wisconsin,78
Maryland,77
Washington,75
Indiana,75
Colorado,74
Kentucky,74
Kansas,73
Texas,72
Virginia,71
Tennessee,69
New Jersey,69
Michigan,68
New York,68
Louisiana,68
Ohio,68
Nevada,67
Wyoming,67
South Carolina,67
Oklahoma,67
Iowa,67
Pennsylvania,67
Florida,67
District of Columbia,66
Illinois,65
Mississippi,65
North Carolina,64
Missouri,64
Hawaii,60
Alabama,59
Georgia,59
Alaska,53
South Dakota,53
