Category: All categories

Region,anorexia: (2011)
North Dakota,100
New Hampshire,93
West Virginia,90
Utah,85
Idaho,85
Maine,83
Vermont,82
New Mexico,81
Mississippi,81
Connecticut,81
Nebraska,81
Iowa,78
Indiana,78
Rhode Island,75
Arkansas,73
Kentucky,73
Wisconsin,73
Kansas,72
Delaware,71
South Dakota,69
Michigan,69
Massachusetts,68
Pennsylvania,68
New Jersey,67
Missouri,66
Louisiana,66
Montana,66
Ohio,66
South Carolina,66
Minnesota,65
Wyoming,65
New York,64
Nevada,64
Oregon,64
Maryland,63
North Carolina,63
Washington,62
Tennessee,61
Texas,60
Virginia,60
Alaska,59
California,57
Oklahoma,57
Alabama,57
Illinois,56
Colorado,56
Arizona,55
Hawaii,52
Florida,50
Georgia,50
District of Columbia,47
