Category: All categories

Region,jumping: (2019)
Wyoming,100
Hawaii,93
Texas,89
Vermont,88
Idaho,87
South Carolina,86
Utah,86
Colorado,85
Georgia,84
Arizona,83
West Virginia,82
Tennessee,81
Missouri,80
Mississippi,80
Oregon,79
Washington,79
Wisconsin,79
New Hampshire,78
North Carolina,78
Montana,77
Louisiana,76
Alabama,76
New Mexico,76
Alaska,76
Michigan,76
New Jersey,75
Rhode Island,75
Ohio,74
South Dakota,74
Indiana,73
Illinois,73
Pennsylvania,73
Connecticut,72
California,72
Florida,72
Minnesota,72
Virginia,71
Maine,71
Delaware,70
Arkansas,70
Maryland,70
North Dakota,69
Nebraska,68
Massachusetts,67
Kentucky,65
Iowa,64
Nevada,64
Kansas,63
New York,62
Oklahoma,59
District of Columbia,52
