Category: All categories

Region,jumping: (2020)
Utah,100
Colorado,99
Vermont,90
Tennessee,90
South Carolina,89
Montana,87
Idaho,86
Wyoming,86
Massachusetts,85
Hawaii,84
North Carolina,83
Oregon,83
Georgia,83
Alaska,82
Washington,81
Arizona,80
New Hampshire,80
New Jersey,80
West Virginia,80
Pennsylvania,79
Minnesota,79
Maine,79
Connecticut,79
Delaware,79
Texas,79
Rhode Island,78
Illinois,78
Wisconsin,78
Alabama,77
California,77
Virginia,76
Indiana,76
Mississippi,75
Michigan,75
New Mexico,75
Louisiana,74
Kentucky,73
New York,73
Florida,72
Missouri,71
South Dakota,71
Maryland,71
Arkansas,70
North Dakota,69
Ohio,69
Nevada,69
Nebraska,67
Oklahoma,67
District of Columbia,64
Kansas,63
Iowa,62
