Category: All categories

Region,jumping: (2009)
Utah,100
Idaho,99
Delaware,84
South Dakota,79
Wyoming,76
New Hampshire,75
West Virginia,75
Alaska,74
Iowa,74
Vermont,74
Montana,73
South Carolina,73
Colorado,72
Alabama,72
Arizona,70
Arkansas,70
Nevada,70
Nebraska,69
Louisiana,68
Maine,67
Oregon,67
Hawaii,66
Texas,66
North Carolina,66
Rhode Island,65
Kansas,65
Connecticut,64
New Mexico,63
Missouri,62
Georgia,61
Washington,61
Kentucky,61
Wisconsin,61
New York,60
Minnesota,60
Pennsylvania,59
North Dakota,59
Michigan,59
District of Columbia,59
Indiana,59
Mississippi,58
New Jersey,57
Tennessee,57
Oklahoma,56
Maryland,56
Ohio,56
Illinois,56
Massachusetts,55
California,52
Florida,52
Virginia,38
