Category: All categories

Region,jumping: (2006)
New Hampshire,100
Utah,94
Colorado,93
South Dakota,86
Vermont,83
Idaho,82
Maine,82
Arizona,81
Rhode Island,80
Alaska,80
Kansas,79
Oregon,79
South Carolina,76
Montana,76
Louisiana,73
Nevada,72
Arkansas,72
Wisconsin,71
Nebraska,70
Indiana,70
Kentucky,69
Delaware,69
North Carolina,68
North Dakota,68
West Virginia,68
Alabama,67
Connecticut,67
Georgia,67
Tennessee,66
Washington,66
Ohio,66
Michigan,66
New Jersey,66
Minnesota,66
California,65
Texas,64
Florida,62
Iowa,62
Maryland,62
Wyoming,62
Missouri,62
Oklahoma,61
Illinois,61
Pennsylvania,61
Virginia,60
New Mexico,60
Massachusetts,57
Mississippi,56
District of Columbia,56
New York,54
Hawaii,48
