Category: All categories

Region,family stress: (2021)
Vermont,
New Hampshire,
Idaho,100
North Dakota,
West Virginia,95
Delaware,
Nebraska,85
Iowa,85
Utah,85
Oklahoma,80
Kansas,80
District of Columbia,
Rhode Island,
Louisiana,80
Mississippi,76
Arizona,76
New Mexico,71
Alabama,71
Indiana,71
Maine,
Connecticut,71
California,71
Arkansas,71
Wisconsin,66
South Carolina,66
Georgia,66
Nevada,66
Colorado,66
Kentucky,66
Virginia,66
Florida,61
Texas,61
Ohio,61
Pennsylvania,61
North Carolina,61
Washington,61
Missouri,57
Illinois,57
Maryland,57
Massachusetts,52
Michigan,52
New Jersey,52
Tennessee,52
Oregon,47
Montana,
Hawaii,
Minnesota,47
New York,42
Alaska,
South Dakota,
Wyoming,
