Category: All categories

Region,family stress: (2017)
Wyoming,
Nebraska,100
Delaware,
Iowa,90
North Dakota,
Mississippi,90
Hawaii,
South Dakota,
Indiana,85
Utah,80
New Mexico,80
Missouri,80
Minnesota,76
Louisiana,71
Alabama,71
Rhode Island,
Virginia,66
Maryland,66
Kentucky,66
South Carolina,66
Vermont,
Idaho,66
West Virginia,66
North Carolina,61
Connecticut,61
Wisconsin,61
Pennsylvania,61
Illinois,61
Arizona,57
Oregon,57
Nevada,57
Georgia,57
Ohio,57
Florida,57
Texas,57
Colorado,57
Michigan,52
New York,52
Arkansas,52
Tennessee,52
Oklahoma,52
Massachusetts,52
Maine,
California,47
New Jersey,47
Kansas,42
New Hampshire,
Washington,42
District of Columbia,
Montana,
Alaska,
