Category: All categories

Region,family stress: (2006)
Maine,
North Dakota,
Iowa,100
Alaska,
Nebraska,77
South Carolina,68
Utah,66
Arkansas,60
Minnesota,54
Wisconsin,43
Ohio,41
Illinois,39
Kentucky,37
Pennsylvania,35
Tennessee,35
District of Columbia,
California,31
Missouri,29
Massachusetts,29
New York,29
New Jersey,27
Maryland,27
Michigan,25
Georgia,22
Texas,20
Florida,20
Arizona,18
Oregon,18
Virginia,18
Colorado,14
North Carolina,14
Washington,8
Alabama,
Connecticut,
Delaware,
Hawaii,
Idaho,
Indiana,
Kansas,
Louisiana,
Mississippi,
Montana,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
