Category: All categories

Region,disappointment: (2013)
Washington,100
Wyoming,59
Oregon,48
Alaska,36
Mississippi,32
New Jersey,32
Montana,32
Indiana,32
Kansas,31
Hawaii,31
Utah,31
Alabama,30
New York,30
District of Columbia,30
Idaho,30
Maryland,29
Virginia,29
Tennessee,29
Massachusetts,29
Connecticut,28
Oklahoma,28
West Virginia,28
South Dakota,28
Minnesota,27
Florida,27
Pennsylvania,27
Georgia,27
Louisiana,26
Arizona,26
California,26
South Carolina,26
Wisconsin,26
North Carolina,26
Ohio,26
Illinois,26
Texas,26
Michigan,26
Nebraska,25
North Dakota,25
Nevada,25
Kentucky,24
New Mexico,24
Missouri,24
Colorado,24
Arkansas,24
New Hampshire,23
Maine,23
Iowa,22
Vermont,20
Delaware,18
Rhode Island,16
