Category: All categories

Region,disappointment: (2006)
Washington,100
Oregon,75
West Virginia,61
Mississippi,59
Vermont,55
Alaska,54
Maine,52
Iowa,51
Kentucky,47
District of Columbia,46
Nevada,45
New Hampshire,42
New Mexico,41
Arkansas,37
North Carolina,37
New York,37
Oklahoma,34
New Jersey,33
Georgia,33
South Carolina,33
Alabama,32
Pennsylvania,31
Ohio,30
California,30
Nebraska,29
Massachusetts,28
Indiana,28
Illinois,26
Tennessee,26
Arizona,25
Utah,25
Texas,24
Colorado,23
Missouri,23
Hawaii,22
Florida,21
Louisiana,21
Wisconsin,17
Maryland,17
Minnesota,16
Connecticut,16
Michigan,16
Virginia,12
Kansas,10
Delaware,
Idaho,
Montana,
North Dakota,
Rhode Island,
South Dakota,
Wyoming,
