Category: All categories

Region,disappointment: (2004)
Montana,100
Rhode Island,78
New Hampshire,75
Vermont,72
Washington,61
Hawaii,52
Arkansas,49
Oregon,47
Maine,46
Alabama,40
South Carolina,31
Tennessee,30
Connecticut,28
Massachusetts,26
District of Columbia,26
Kansas,25
Michigan,23
Texas,22
Ohio,22
Indiana,21
Iowa,21
Illinois,20
New York,19
Wisconsin,17
California,17
Georgia,15
Colorado,13
Pennsylvania,13
Missouri,13
Maryland,12
New Jersey,11
Virginia,10
Arizona,9
Florida,2
Alaska,
Delaware,
Idaho,
Kentucky,
Louisiana,
Minnesota,
Mississippi,
North Carolina,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Oklahoma,
South Dakota,
Utah,
West Virginia,
Wyoming,
