Category: All categories

Region,disappointment: (2005)
Alaska,100
Rhode Island,56
Vermont,43
Washington,40
Arkansas,27
Oregon,20
Kansas,19
Iowa,19
Oklahoma,17
Hawaii,17
New Jersey,17
Maine,16
District of Columbia,16
Missouri,15
Connecticut,15
Tennessee,13
New Hampshire,13
Arizona,13
Illinois,13
Maryland,12
Michigan,12
Pennsylvania,11
California,11
Massachusetts,11
Nebraska,10
Virginia,10
North Carolina,10
Ohio,10
New York,10
Florida,10
Nevada,10
Louisiana,9
Minnesota,9
Georgia,9
Colorado,8
Texas,6
Indiana,3
Wisconsin,3
Alabama,
Delaware,
Idaho,
Kentucky,
Mississippi,
Montana,
North Dakota,
New Mexico,
South Carolina,
South Dakota,
Utah,
West Virginia,
Wyoming,
