Category: All categories

Region,Obsessive compulsive personality disorder: (2010)
Mississippi,
Alaska,
West Virginia,
Kansas,
Indiana,100
Wisconsin,100
Arizona,94
Oklahoma,
Pennsylvania,84
Kentucky,
Hawaii,
Minnesota,78
Colorado,73
Utah,
Maryland,68
Ohio,68
District of Columbia,
Illinois,63
Texas,63
Florida,57
Michigan,57
North Carolina,57
New Hampshire,
Tennessee,
Massachusetts,47
Oregon,
Connecticut,
New Jersey,42
Washington,42
Missouri,42
Alabama,
New York,36
Louisiana,
South Carolina,
California,31
Virginia,26
Georgia,15
Arkansas,
Delaware,
Iowa,
Idaho,
Maine,
Montana,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
